Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
4.433333333333333570e+00,2.996777209583237322e+02,3.372892755394678943e+02,8.009044538662645207e-01,2.998515531511445715e+02,1.570241486844029533e-01
4.466666666666666785e+00,2.998515531511445715e+02,3.372736847119683716e+02,7.972267094840977952e-01,3.000165441142702321e+02,1.575438429343870572e-01
4.500000000000000000e+00,3.000165441142702321e+02,3.372588917307186875e+02,7.937272492559113157e-01,3.001730918166907713e+02,1.580369423093765102e-01
4.533333333333333215e+00,3.001730918166907713e+02,3.372448529350115223e+02,7.903972889184051054e-01,3.003216583007289273e+02,1.585049021662820190e-01
4.566666666666666430e+00,3.003216583007289273e+02,3.372315274338978384e+02,7.872284911621362236e-01,3.004626762975572092e+02,1.589490855367381439e-01
4.599999999999999645e+00,3.004626762975572092e+02,3.372188768271337835e+02,7.842129414027061429e-01,3.005965521802959302e+02,1.593707724288733196e-01
4.633333333333332860e+00,3.005965521802959302e+02,3.372068650059190418e+02,7.813431250554779828e-01,3.007236680727125986e+02,1.597711664693689526e-01
4.666666666666666963e+00,3.007236680727125986e+02,3.371954579875833815e+02,7.786119061756988646e-01,3.500000000000000000e+02,0.000000000000000000e+00
4.700000000000000178e+00,3.500000000000000000e+02,3.407380050590834344e+02,7.745643233050566456e-01,3.374331078759520324e+02,2.753998313638845175e-01
4.733333333333333393e+00,3.374331078759520324e+02,3.437126231889200199e+02,7.676232963706706158e-01,3.059540147881859866e+02,1.762458937026653849e-01
4.766666666666666607e+00,3.059540147881859866e+02,3.447340875143322023e+02,7.588002888433924564e-01,2.951443010091441010e+02,1.421970828555927380e-01
4.799999999999999822e+00,2.951443010091441010e+02,3.450682370553310534e+02,7.496235022931189151e-01,2.916081413922742627e+02,1.310587648222977519e-01
4.833333333333333037e+00,2.916081413922742627e+02,3.451461505232313129e+02,7.406922701948703835e-01,2.907836169653496654e+02,1.284616492256224485e-01
4.866666666666666252e+00,2.907836169653496654e+02,3.451290648450737422e+02,7.322151590243609620e-01,2.909644272844274155e+02,1.290311718308782274e-01
4.900000000000000355e+00,2.909644272844274155e+02,3.450789593694406676e+02,7.242467219911462584e-01,2.914946717940803751e+02,1.307013543519772725e-01
4.933333333333333570e+00,2.914946717940803751e+02,3.450195659939557231e+02,7.167835987376102169e-01,2.921232061181785866e+02,1.326811335348087595e-01
4.966666666666666785e+00,2.921232061181785866e+02,3.449597390033183615e+02,7.098021988838747465e-01,2.927563292033047446e+02,1.346753665560541380e-01
5.000000000000000000e+00,2.927563292033047446e+02,3.449025859097840794e+02,7.032730858391076367e-01,2.933611555954972800e+02,1.365804696738635304e-01
5.033333333333333215e+00,2.933611555954972800e+02,3.448490312477551925e+02,6.971662860150904528e-01,2.939279013482987466e+02,1.383656250748264149e-01
5.066666666666666430e+00,2.939279013482987466e+02,3.447991945480179652e+02,6.914531304824980129e-01,2.944553015192583416e+02,1.400268483994006607e-01
5.099999999999999645e+00,2.944553015192583416e+02,3.447529158010351011e+02,6.861067991786736764e-01,2.949450494198867432e+02,1.415694732988294624e-01
5.133333333333332860e+00,2.949450494198867432e+02,3.447099519554587914e+02,6.811023947454633021e-01,2.953997171571468243e+02,1.430016014847102501e-01
5.166666666666666963e+00,2.953997171571468243e+02,3.446700480732862388e+02,6.764168562369219373e-01,2.958220026293131468e+02,1.443317308904581986e-01
5.200000000000000178e+00,2.958220026293131468e+02,3.446329614528772822e+02,6.720288266775644725e-01,2.962144742425444974e+02,1.455679515707567484e-01
5.233333333333333393e+00,2.962144742425444974e+02,3.445984684810543399e+02,6.679185149153478163e-01,2.965794983980812844e+02,1.467177172981881383e-01
5.266666666666666607e+00,2.965794983980812844e+02,3.445663653769267398e+02,6.640675650816761921e-01,2.969192316206763280e+02,1.477878207691081525e-01
5.299999999999999822e+00,2.969192316206763280e+02,3.445364669443032994e+02,6.604589372630242927e-01,2.972356337612708330e+02,1.487844351898894857e-01
5.333333333333333037e+00,2.972356337612708330e+02,3.445086048138745127e+02,6.570767995368850256e-01,3.500000000000000000e+02,0.000000000000000000e+00
5.366666666666666252e+00,3.500000000000000000e+02,3.484129063953286618e+02,6.516895455971533080e-01,3.302909198499927470e+02,2.529031201557170871e-01
5.400000000000000355e+00,3.302909198499927470e+02,3.515425105080303751e+02,6.419575617093042919e-01,2.971716773484330929e+02,1.485829830656536232e-01
5.433333333333333570e+00,2.971716773484330929e+02,3.528031757122797103e+02,6.294014205258361416e-01,2.838306044493539275e+02,1.065608095906759450e-01
5.466666666666666785e+00,2.838306044493539275e+02,3.532587242606723521e+02,6.162476493211379580e-01,2.790097318079179445e+02,9.137585797758793205e-02
5.500000000000000000e+00,2.790097318079179445e+02,3.533409726037814380e+02,6.035670480588654074e-01,2.781393332774055125e+02,8.863424654061842489e-02
5.533333333333333215e+00,2.781393332774055125e+02,3.532551278032570963e+02,5.918071343044941646e-01,2.790477915563695319e+02,9.149573989142979757e-02
5.566666666666666430e+00,2.790477915563695319e+02,3.531031405628966695e+02,5.810990761549907901e-01,2.806562065792825251e+02,9.656198123677733891e-02
5.599999999999999645e+00,2.806562065792825251e+02,3.529343228935484831e+02,5.714264396913537603e-01,2.824427307300524603e+02,1.021892368817168689e-01
5.633333333333332860e+00,2.824427307300524603e+02,3.527707264224856658e+02,5.627129107576989142e-01,2.841740012046594757e+02,1.076424525838136220e-01
